Date,Asset_A_Price,Asset_B_Price
2024-01-31,100.44,50.28
2024-02-29,107.75,52.27
2024-03-31,107.25,51.29
2024-04-30,99.31,50.74
2024-05-31,103.62,51.15
2024-06-30,105.95,52.45
2024-07-31,99.82,55.34
2024-08-31,96.69,58.17
2024-09-30,106.5,61.15
2024-10-31,110.81,59.37
2024-11-30,106.1,58.32
2024-12-31,110.51,59.61
2025-01-31,112.39,59.95
2025-02-28,110.67,60.21
2025-03-31,116.51,60.03
2025-04-30,120.93,59.41
2025-05-31,118.76,60.56
2025-06-30,116.26,61.34
2025-07-31,120.3,59.31
2025-08-31,112.88,61.12
2025-09-30,112.88,61.77
2025-10-31,125.21,60.2
2025-11-30,127.83,62.89
2025-12-31,125.49,63.8
